County,Population,Anglo,Black,Hispanic,Other,,,,,
Anderson,6.19,35905,12759,11623,1582,,,,,
Andrews,1.72,7331,210,9304,370,,,,,
Angelina,9.35,54351,13872,22540,2736,,,,,
Aransas,2.58,17376,275,7167,989,,,,,
Archer,0.98,8637,34,931,173,,,,,
Armstrong,0.20,1788,11,141,41,,,,,
Atascosa,5.48,18274,299,35541,689,,,,,
Austin,3.56,20568,3446,10866,760,,,,,
Bailey,0.83,2637,70,5500,81,,,,,
Bandera,2.46,19251,89,4834,458,,,,,
Bastrop,9.76,47355,6934,40117,3172,,,,,
Baylor,0.37,3046,68,542,52,,,,,
Bee,3.33,10948,2507,19266,559,,,,,
Bell,38.60,180096,76206,95212,34500,,,,,
Bexar,202.52,520831,140776,1254037,109567,,,,,
Blanco,1.28,9881,62,2584,225,,,,,
Borden,0.07,585,0,102,7,,,,,
Bosque,2.03,15599,308,4020,350,,,,,
Bowie,9.49,58952,24140,7658,4114,,,,,
Brazoria,39.97,178566,54795,126365,39955,,,,,
Brazos,23.44,123884,24788,66287,19392,,,,,
Brewster,1.01,5334,81,4450,267,,,,,
Briscoe,0.17,1131,39,481,23,,,,,
Brooks,0.76,586,18,6947,49,,,,,
Brown,4.04,28361,1474,9456,1113,,,,,
Burleson,1.95,12482,2363,4356,297,,,,,
Burnet,5.14,36798,872,12669,1085,,,,,
Caldwell,4.80,18843,2954,25088,1090,,,,,
Calhoun,2.49,9824,564,13029,1445,,,,,
Callahan,1.46,12665,143,1407,407,,,,,
Cameron,48.46,40993,1416,436508,5676,,,,,
Camp,1.42,7834,2350,3601,438,,,,,
Carson,0.65,5657,34,640,158,,,,,
Cass,3.19,24277,5381,1519,733,,,,,
Castro,0.88,2885,162,5678,89,,,,,
Chambers,4.62,29358,3693,11862,1283,,,,,
Cherokee,5.69,32411,7895,15168,1449,,,,,
Childress,0.74,4382,704,2163,172,,,,,
Clay,1.16,10593,53,566,361,,,,,
Cochran,0.34,1342,123,1935,32,,,,,
Coke,0.31,2358,7,682,69,,,,,
Coleman,0.92,7034,199,1815,188,,,,,
Collin,110.70,598808,110383,211008,186818,,,,,
Collingsworth,0.32,1849,127,1156,89,,,,,
Colorado,2.25,12207,2899,7044,356,,,,,
Comal,14.58,100823,2452,38371,4158,,,,,
Comanche,1.48,9961,25,4572,220,,,,,
Concho,0.43,1800,57,2372,52,,,,,
Cooke,4.14,30461,1126,8348,1478,,,,,
Coryell,8.56,48915,12293,16876,7487,,,,,
Cottle,0.16,1046,147,369,17,,,,,
Crane,0.52,1886,133,3138,92,,,,,
Crockett,0.40,1342,13,2652,42,,,,,
Crosby,0.71,2510,198,4340,68,,,,,
Culberson,0.27,525,8,2092,67,,,,,
Dallam,0.79,4011,88,3613,209,,,,,
Dallas,261.03,644161,581058,1168855,216193,,,,,
Dawson,1.47,5219,886,8384,204,,,,,
Deaf Smith,2.23,5578,172,16214,297,,,,,
Delta,0.57,4701,427,365,251,,,,,
Denton,90.95,498958,84698,215889,109956,,,,,
De Witt,2.09,10690,1900,7836,438,,,,,
Dickens,0.25,1556,91,789,52,,,,,
Dimmit,1.08,1257,89,9340,99,,,,,
Donley,0.39,3203,190,392,71,,,,,
Duval,1.25,1223,86,11159,66,,,,,
Eastland,1.97,15547,379,3460,362,,,,,
Ector,15.72,52520,6117,94742,3847,,,,,
Edwards,0.22,940,10,1190,18,,,,,
Ellis,19.46,114552,18216,56342,5474,,,,,
El Paso,93.61,95949,22362,794742,23002,,,,,
Erath,4.12,30051,560,9537,1067,,,,,
Falls,1.91,9420,4794,4536,373,,,,,
Fannin,3.73,29184,2377,4541,1240,,,,,
Fayette,2.80,19281,1761,6530,402,,,,,
Fisher,0.39,2594,135,1132,55,,,,,
Floyd,0.67,2473,213,3922,51,,,,,
Foard,0.14,1067,58,231,9,,,,,
Fort Bend,85.36,252790,182065,231534,187260,,,,,
Franklin,1.17,8993,453,1943,318,,,,,
Freestone,2.18,14441,3407,3556,372,,,,,
Frio,1.98,2923,512,15721,626,,,,,
Gaines,2.12,12881,289,7791,275,,,,,
Galveston,33.05,181365,40614,86305,22220,,,,,
Garza,0.69,2990,428,3442,70,,,,,
Gillespie,2.94,22105,54,6806,409,,,,,
Glasscock,0.13,871,15,444,8,,,,,
Goliad,0.84,4816,310,3138,110,,,,,
Gonzales,2.21,8602,1461,11711,327,,,,,
Gray,2.47,14966,1149,7873,680,,,,,
Grayson,13.23,96579,7372,21109,7262,,,,,
Gregg,13.50,71893,25800,31849,5471,,,,,
Grimes,3.04,17335,4721,7779,557,,,,,
Guadalupe,17.69,89448,11236,68793,7460,,,,,
Hale,3.82,12589,1918,23042,668,,,,,
Hall,0.33,1783,251,1254,39,,,,,
Hamilton,0.88,7529,41,1069,130,,,,,
Hansford,0.64,3099,31,3204,73,,,,,
Hardeman,0.44,2879,228,1209,107,,,,,
Hardin,6.14,52579,3698,3769,1382,,,,,
Harris,480.06,1271891,843389,2237610,447668,,,,,
Harrison,7.15,43013,14555,11897,2069,,,,,
Hartley,0.63,4118,418,1641,104,,,,,
Haskell,0.60,3938,211,1752,147,,,,,
Hays,23.55,126452,6808,94064,8176,,,,,
Hemphill,0.43,2834,4,1428,69,,,,,
Henderson,8.36,63656,5052,12388,2535,,,,,
Hidalgo,98.05,67310,3415,895784,14013,,,,,
Hill,3.89,27098,2431,8571,833,,,,,
Hockley,2.48,11685,976,11705,426,,,,,
Hood,6.02,50771,260,7743,1456,,,,,
Hopkins,3.81,26452,2694,7672,1326,,,,,
Houston,2.50,15162,6373,2937,546,,,,,
Howard,3.75,19185,2282,14922,1088,,,,,
Hudspeth,0.39,676,30,3178,54,,,,,
Hunt,10.01,67849,8533,18832,4856,,,,,
